주차장 이름,위도,경도,주변 주차장
도봉산역 공영주차장(시),37.68972069,127.04483862,
도봉산 공영주차장(시),37.6876442,127.04066026,
현대성우아파트,37.676229,127.047725,
당고개위 공영주차장(시),37.67070279,127.08041836,
도봉구청 부설주차장,37.6687158,127.04711546,
거성학마을아파트,37.666646,127.039654,
이안테라디움방학역오피스텔,37.665784,127.043741,
홈플러스 방학점,37.66482,127.043719,
신한은행 방학동지점,37.663147,127.036928,
롯데백화점 노원점(별관) 주차장,37.655348,127.061802,
롯데백화점 노원점(본관) 주차장,37.654954,127.06086,
LG전자베스트샵 쌍문본점,37.654867,127.037972,
우이동 공영주차장(시),37.65671789,127.01163698,
정안빌딩,37.657457,127.01391,
KT노원타워,37.65445795,127.06369619,
씨드큐브창동,37.65439,127.049764,
창동역(서) 공영주차장(시),37.65237042,127.04567683,
상계백병원 주차장,37.648654,127.063009,
더블유 Tmap 주차장(민영),37.64775334,127.03373409,
서울시립과학관 부설주차장,37.641981,127.077432,
2001아울렛 중계점,37.64129794,127.06801938,
가오리 공영주차장(구),37.64160736,127.01498164,
홈플러스 중계점,37.639866,127.068575,
수송초등학교 공영주차장(구),37.63709333,127.03300942,
시범 공영주차장(구),37.64005648,127.02595849,
에피소드수유838,37.636932,127.023307,
노원을지대학교병원 주차장,37.63642,127.070002,
인수동공영주차장(구),37.63608367,127.01844991,
LG전자베스트샵 노원본점,37.628515,127.071146,
희성프라자,37.63091732,127.06104087,
미아동공영주차장(구),37.6285679,127.02235964,
수유프라자,37.631703,127.02348,
우리은행 미아역지점,37.62777652,127.02513238,
수유일공원공영주차장(구),37.63061186,127.01743071,
이마트월계점,37.62745359,127.06201533,
번동 햇살 주차장(구),37.62509512,127.03343189,
냉천길 공영주차장(구),37.62400561,127.01953853,
롯데마트 삼양점,37.62561503,127.01770989,
구세군길 공영주차장(무인)(구),37.62617605,127.01344244,
꿈의숲요양병원,37.620514,127.044938,
오패산공영주차장(구),37.6221541,127.03114725,
대지시장길 공영주차장(구),37.62016376,127.02031635,
삼양마을공원지하공영주차장(구),37.62274538,127.01842794,
홈플러스 신내점,37.615743,127.093825,
석계역 공영주차장(시),37.615292,127.062997,
LG전자베스트샵 강북본점,37.618662,127.028891,
도봉로 15길 공영주차장(시),37.61695866,127.0279473,
송천동공영주차장(구),37.61458475,127.0251644,
서울의료원 주차장,37.612879,127.099193,
송중동 공영주차장(구),37.61165492,127.03363616,
롯데백화점[미아점] 지하주차장,37.61417653,127.03055539,
신세계 이마트미아점,37.61086046,127.02974197,
베누스타 주차장,37.60933538,127.02949836,
성북힐스테이트 주차장,37.606535,127.030397,
성북힐스테이트아파트,37.606548,127.029027,
현대백화점 미아점 주차장,37.60838767,127.02877104,
JR메디컬센터타워 주차장,37.60736694,127.01009949,
대명프라자,37.601777,127.096903,
홈플러스 월곡점,37.601636,127.040355,
러스크서울병원[망우동 4호점],37.600071,127.104311,
다이소 망우2호점,37.599122,127.098381,
이마트 상봉점,37.59643854,127.09351851,
휘경메디컬프라자,37.59178,127.066602,
공유) 성북구 도담도담 주차장(구),37.594584,126.993775,
JS빌딩 주차장,37.59098817,127.06438783,
돈암동일하이빌 주차장,37.59164441,127.01442238,
녹색병원 주차장,37.583909,127.086374,
제이앤지산 주차장,37.58151728,127.07070593,
롯데백화점 청량리점 주차장,37.581328,127.049055,
두산베어스타워,37.578574,127.03242,
장안2동 공영주차장(시),37.5782752,127.07061896,
LG전자베스트샵 용두점,37.575415,127.0386,
홈플러스 동대문점,37.574439,127.038774,
동대문베네스트어반라이프,37.577858,127.033597,
동의보감타워,37.577816,127.037717,
홍익대학교 대학로캠퍼스,37.576526,127.001474,
중곡3동공영주차장(구),37.56993873,127.08469308,
장안1동 공영주차장(시),37.56941,127.066994,
공유) 04-16(구),37.57011,127.0433933,
공유) 04-17(구),37.56939,127.04483,
마장축산물시장 서문(건물) 공영주차장(구),37.5704876,127.03832741,
마장축산물시장(건물) 공영주차장(구),37.571538,127.039926,
공유) 04-01(구),37.5696,127.03263,
공유) 04-02(구),37.5698166,127.03303992,
청계8가(남) 공영주차장(시),37.56970941,127.03216792,
공유) 04-04(구),37.571058144,127.03481018,
공유) 04-03(구),37.571558107,127.03643021,
공유) 04-23(구),37.56944669,127.0360172,
마장동(건물) 공영주차장(구),37.56993875,127.03514519,
청계8가(북) 공영주차장(시),37.57063582,127.02824815,
신설동 공영주차장(시),37.57252061,127.02425684,
청계7가 공영주차장(시),37.57217485,127.02225792,
청계8가 공영주차장(시),37.57002852,127.01735719,
청계6(동평화) 공영주차장(시),37.56958258,127.01316308,
청계6(북) 공영주차장(시),37.56998946,127.0136987,
청계6(청평화) 공영주차장(시),37.56960075,127.01521402,
남평화시장(구),37.569043,127.011648,
청계6(신평화시장앞) 공영주차장(시),37.569577,127.011183,
서울디자인재단 본관 주차장,37.57288249,127.00816125,
청계5(남) 공영주차장(시),37.56951246,127.00750172,
청계5(북1) 공영주차장(시),37.56988704,127.00756704,
청계5가 공영주차장(시),37.56953489,127.00795168,
청계5(방산동) 공영주차장(시),37.56948283,127.00601836,
우리은행ATM 종로5가지점,37.570031,127.001665,
청계3(북1) 공영주차장(시),37.56967214,127.00112596,
청계5(동호로_북) 공영주차장(시),37.57028463,127.0021223,
청계3(남) 공영주차장(시),37.56934864,127.00128399,
동순라길(종묘) 관광버스전용 주차장(시),37.5730121,126.99677676,
하나손해보험빌딩 주차장,37.57278965,126.99718284,
종로플레이스 주차장,37.572882,126.998496,
종묘주차장 공영주차장(시),37.57150398,126.99496888,
청계3(창경궁로_북1) 공영주차장(시),37.57045874,126.99733225,
탑골공원 관광버스전용 주차장(시),37.57134087,126.98776281,
강일타워,37.565628,127.173818,
강일동 주차장(구),37.565988,127.172313,
알에프텍사옥,37.566055,127.160332,
일화고덕비즈밸리,37.5664681574946,127.16002106666565,
실로암사우나 중곡점 주차장,37.56907837,127.08555024,
서희스타힐스아파트,37.569014,127.070344,
한강훼미리아파트,37.568597,127.06818,
평화빌딩 주차장,37.56559316,127.05576,
공유) 04-15(구),37.56834,127.04386,
공유) 04-18(구),37.56822,127.044732,
공유) 04-19(구),37.56624917,127.04420328,
공유) 04-50(구),37.567822435,127.04568922,
공유) 04-55(구),37.566835292,127.04574031,
공유) 05-09(구),37.565129533,127.0473239,
공유) 20-21(구),37.569093775,127.04777598,
공유) 04-12(구),37.568881178,127.03903734,
공유) 04-14(구),37.566653123,127.04275488,
공유) 04-49(구),37.565071333,127.0398581,
공유) 03-01(구),37.56804,127.03252,
공유) 03-06(구),37.5653,127.03475445,
공유) 03-07(구),37.56506,127.03313,
공유) 03-15(구),37.56684871,127.03400015,
공유) 04-24(구),37.56737,127.03411,
공유) 06-22(구),37.565415888,127.03742434,
공유) 03-10(구),37.56773,127.03111,
공유) 03-14(구),37.566139068,127.03115581,
도선동(지하) 공영주차장(구),37.565567,127.0316914,
로얄주차장(민영),37.56645139,127.02178727,
신당사거리 공영주차장(구),37.56512357,127.0170201,
신당역 공영주차장(구),37.56535145,127.02069649,
청계천두산위브더제니스상,37.56682,127.017092,
황학어린이공원 지하주차장(구),37.56754712,127.01813313,
DDP동측(양쪽) 관광버스전용 주차장(시),37.56644898,127.0119162,
DDP북측 마장로 관광버스전용 주차장(시),37.56836018,127.01048308,
경찰공제회 신당동 무궁화회관,37.56862,127.014787,
동대문 공영주차장(시),37.56710187,127.01214106,
동대문두산타워 주차장,37.56881307,127.00877499,
현대백화점 현대시티아울렛 동대문점,37.56859457,127.00775925,
훈련원공원 옆(구),37.567805,127.005067,
청계3(동호로) 공영주차장(시),37.56921838,127.00195247,
청계5(동호로_남) 공영주차장(시),37.56912618,127.00222011,
훈련원공원 공영주차장(시),37.56740014,127.00352062,
공유) 삼풍상가3구간(02~12)(구),37.56615038,126.9957824,
공유) 삼풍상가4구간(23~26)(구),37.56626933,126.9953819,
삼풍넥서스빌딩,37.56612307,126.99559351,
공유) 삼풍상가4구간(18~21)(구),37.56517035,126.9954911,
세운대림상가(서측)(구),37.566821,126.995252,
배오개길 공영주차장(시),37.56568137,126.99829135,
세운대림상가(동측)(구),37.5683313,126.9956424,
청계2(북2) 공영주차장(시),37.56878199,126.99591057,
청계2(북1) 공영주차장(시),37.568689,126.994708,
을지트윈타워 주차장,37.566153,126.997339,
청계3(창경궁로_남) 공영주차장(시),37.56837721,126.99794649,
돈화문로 공영주차장(시),37.565641,126.992781,
세종주차장(민영),37.56901932,126.98920432,
시그니쳐타워 주차장,37.56753601,126.98849319,
청계1(북) 공영주차장(시),37.56831662,126.9893367,
크리스탈스퀘어 주차장,37.567672,126.989318,
파인에비뉴,37.56572319,126.98872568,
보건복지행정타운,37.56466,127.084522,
경륜경정 장안지점 주차장,37.56229166,127.0671915,
두봉상가 주차장,37.5617818,127.06705264,
공유) 20-11(구),37.563459744,127.05530226,
공유) 20-13(구),37.563183347,127.05575287,
공유) 20-33(구),37.562981437,127.05584818,
용답제2(평면) 공영주차장(구),37.56328524,127.05628296,
공유) 20-14(구),37.562385913,127.05569544,
공유) 20-15(구),37.56180365,127.05525815,
공유) 20-34(구),37.56064519,127.0567091,
공유) 20-23(구),37.564765176,127.05003976,
공유) 20-26(구),37.56161106,127.0518833,
용답동(건물) 공영주차장(구),37.56458022,127.05432169,
공유) 05-08(구),37.560745,127.04879,
공유) 04-20(구),37.56367,127.04215,
공유) 04-22(구),37.5636,127.03874,
경진주차장,37.562606,127.032796,
공유) 02-08(구),37.56205,127.03303,
공유) 03-20(구),37.564542348,127.03549,
공유) 06-05(구),37.560946617,127.03450441,
왕십리 민자역사 비트플렉스몰 ,37.562091,127.037925,
공유) 02-07(구),37.56083,127.03043,
공유) 동화동 07(003~012구간)(구),37.5625999,127.0176766,
동화동 공영주차장(구),37.56137409,127.01900035,
신당동 공영주차장(구),37.56204618,127.01442718,
남산센트럴시티투웨니퍼스트오피스텔,37.564729,127.000972,
마른내로 공영주차장(시),37.56463752,127.00142678,
묵정공원지하 공영주차장(구),37.56379141,126.99979555,
공유) 진양상가1구간 1-02면 (장애인전용)(구),37.5634183,126.9961205,
마른내길 공영주차장(시),37.56440034,126.99357536,
민속의 집 주차장(구),37.559645,127.168587,
LG전자베스트샵 광진본점,37.556923,127.0811808,
스테이더디자이너스군자오피스텔 주차장,37.557336,127.077946,
공유) 19-19(구),37.559330686,127.07301557,
공유) 19-20(구),37.557880233,127.07211106,
공유) 05-10(구),37.56016,127.048561,
공유) 05-04(구),37.5585,127.03941,
공유) 05-05(구),37.559016,127.03915536,
서울숲더샵아파트 주차장,37.55715486,127.04012516,
공유) 06-02(구),37.558574351,127.03574305,
공유) 06-11(구),37.55906169,127.03298455,
서울숲리버뷰자이아파트상가,37.556314,127.038052,
공유) 02-06(구),37.56028,127.02835,
하왕십리(건물) 공영주차장(구),37.560316,127.027944,
공유) 02-10(구),37.55987,127.02966,
동산 공영주차장(구),37.55634366,127.01597608,
공유) 청구동 05(001~013구간)(구),37.5562788,127.0128583,
약수빌딩 주차장,37.55789144,127.01270923,
청구 공영주차장(구),37.55897429,127.01340538,
공유) 장충동 10(005~009구간)(구),37.5590781,127.002698,
앰배서더서울 풀만 호텔,37.5601902,127.002238,
장충 공영주차장(구),37.56001,127.00131646,
남산한옥마을 공영주차장(시),37.56005799,126.99316078,
필동 공영주차장(구),37.55660191,126.99589418,
남산예장 관광버스전용 주차장(시),37.559821,126.989076,
강동경희대학교병원,37.55292409,127.15748447,
공유) 주양쇼핑앞 주차장(구),37.55183962,127.15475428,
명성프라자 주차장,37.55459836,127.15409092,
명일동 공영주차장(시),37.55361065,127.15591212,
이마트 명일점,37.5540192,127.1560139,
볕우물 공영주차장(시),37.55237413,127.13512275,
암사1동 주차장(구),37.55289,127.1377215,
어린이대공원(후문),37.55188775,127.08723617,
공유) 능동 IoT 공유주차장(구),37.552018,127.078459,
공유) 19-04(구),37.553013,127.067656,
공유) 19-12(구),37.55572095,127.06986499,
살곶이(평면) 공영주차장(구),37.55384954,127.04829171,
공유) 08-10(구),37.552156381,127.03658044,
공유) 07-05(구),37.55402998,127.03167662,
공유) 08-01(구),37.55366,127.02757,
공유) 08-12(구),37.5541842,127.02729412,
공유) 08-02(구),37.55243282,127.02893614,
공유) 08-03(구),37.5524,127.0316,
벽산하이피아프라자 별관,37.551573,127.026326,
공유) 10-01(구),37.555579891,127.01724708,
공유) 10-02(구),37.55169,127.01771,
공유) 10-05(구),37.5535238,127.01795732,
금호초등학교,37.552314,127.019668,
신금호파크자이아파트 상가동,37.555595,127.019728,
약수동 공영주차장(구),37.55222214,127.01335763,
공유) 다산동 03(001~055구간)(구),37.5556884,127.0066239,
관철동 공영주차장(시),37.56847403,126.98608025,
남산동 공영주차장(구),37.55923691,126.98562404,
미래에셋센터원 주차장,37.567448,126.985157,
DGB금융센터,37.568395,126.98235,
한국관광공사 옆(구),37.568338,126.982009,
남대문 메사빌딩,37.5604002,126.979568,
남산공원 소파로 관광버스전용 주차장(시),37.55613113,126.97880145,
남산케이블카 공영주차장(시),37.55631925,126.98415243,
남산파출소 공영주차장(시),37.55495673,126.98173292,
눈스퀘어 주차장,37.56342589,126.98293645,
다동쉼터(구),37.567908,126.979967,
동국제강 공영주차장(시),37.56733736,126.98343453,
롯데호텔 롯데백화점,37.56472646,126.98096695,
서울글로벌센터 공영주차장(시),37.56983402,126.98150586,
센트로폴리스,37.571631,126.983431,
소파로케이블카앞 관광버스전용 주차장(시),37.55519966,126.98374278,
스테이트타워남산,37.560122,126.982947,
신세계백화점 본점(신관),37.560362,126.98095432,
조선호텔 앞(구),37.56392121,126.98018973,
종로타워 주차장,37.57045278,126.98383892,
지타워 주차장,37.57267337,126.98104937,
해운센터 앞(구),37.56337305,126.98083219,
T타워,37.55384119,126.97579392,
공유) 회현동 12(005~013구간)(구),37.5547328,126.9744666,
국제화재빌딩 옆(구),37.5581731,126.976018,
남대문 시장 관광버스전용 주차장(시),37.55952,126.975908,
남대문 초입 관광버스전용 주차장(시),37.55953,126.975731,
남대문 화물 공영주차장(시),37.56096448,126.97813425,
남대문피혁상가 남측(구),37.559468,126.974095,
남산공원 소월로 관광버스전용 주차장(시),37.55458553,126.97798499,
뉴국제호텔 앞(구),37.568228,126.97805,
코오롱빌딩 옆(구),37.5677975,126.978343,
서소문 시티스퀘어,37.563026,126.975362,
서소문삼성생명뒤(구),37.561784,126.974236,
서울시청 본청사 주차장,37.56658706,126.97825111,
한진면세점 앞(구),37.55631344,126.97560042,
한화생명 소공동사옥,37.564168,126.978553,
한화생명 태평로사옥,37.564181,126.977563,
서소문올리브타워 옆(구),37.561736,126.973109,
순화타워 주차장,37.561078,126.97227539,
바비엥2오피스텔,37.56531,126.967965,
이화여고 앞(구),37.565593,126.968315,
정동빌딩,37.56750993,126.97089851,
중림동 실로암빌딩	,37.557744,126.968618,
하이파킹 서울역 주차장,37.555936,126.970221,
공유) 중림동 11(001~009구간)(구),37.5590136,126.9624063,
공유) 중림동 11(010~020구간)(구),37.558746,126.9642899,
동아일보사 충정로사옥,37.56188747,126.96337537,
손기정체육공원 공영주차장(구),37.55559696,126.96497303,
중림종합복지센터 주차장,37.559389,126.966214,
한서 공영주차장(구),37.552856,126.949343,
대흥2구역 공영주차장(구),37.556123,126.945195,
서강대역 환승 공영주차장(구),37.551022,126.936452,
신촌 연세의료원,37.5610711,126.939164,
에피소드 신촌369,37.554134,126.934784,
창천중교 공영주차장(구),37.55473789,126.93943744,
테라운드빌딩 주차장,37.55631688,126.93456352,
현대백화점 신촌점,37.55621008,126.93582104,
공유) 9-88(구),37.55678494,126.92851359,
신촌노외 공영주차장(구),37.553711,126.934128,
LG전자베스트샵 동교점,37.558325,126.926802,
쓰리알유시티 주차장,37.55883346,126.92738241,
애경타워 주차장,37.557095,126.927441,
칼리오페 주차장,37.55349117,126.92431124,
라이즈 오토그래프컬렉션 호텔,37.554439,126.921297,
아만티호텔 서울,37.557173,126.918598,
지남빌딩,37.56016449,126.92085666,
마포중앙도서관 공영주차장(구),37.56376056,126.90835345,
망원노외주차장(구),37.559577,126.906609,
성산2-1 공영주차장(구),37.564801,126.906726,
마포구청(마포구종합행정타운),37.56633524,126.90189819,
마포클레세오피스텔,37.564641,126.903576,
망원1-2 공영주차장(구),37.55558459,126.90587312,
망원2-1 공영주차장(구),37.557769,126.901535,
상암월드시티,37.565454,126.903534,
아트센타,37.561969,126.905229,
마포농수산물시장 공영주차장[마포구청역 1호점],37.5651631,126.89797706,
망원1-1 공영주차장(구),37.556025,126.900057,
망원2주차장[서울함공원옆],37.553965,126.896929,
문화비축기지주차장,37.569477,126.8947403,
홈플러스 월드컵점,37.56833,126.89859,
"난지공원1, 2, 3주차장",37.5613576,126.88728016,
가양3동 공영주차장(시),37.56033753,126.85977547,
강변샤르망1단지,37.559486,126.857267,
강변샤르망2단지,37.559234,126.857549,
강변샤르망3단지,37.559112,126.856912,
더브리티시몰,37.557888,126.856062,
가양상가,37.562073,126.852591,
이스타빌1차,37.562578,126.853005,
금부빌딩,37.561606,126.853345,
영보빌딩 공영주차장(시),37.56332959,126.85308175,
홈플러스 가양점,37.564269,126.850032,
홈플러스 강서점,37.558393,126.855058,
NC 강서점,37.55998779,126.84037793,
VIPS프리미어 등촌점,37.558533,126.842206,
가양라이품 공영주차장(시),37.57155732,126.84165292,
마곡대방디엠시티2차,37.568517,126.839457,
리더스애비뉴 마곡,37.561364,126.837048,
마곡센트럴타워1차,37.559596,126.832672,
마곡테크노타워1차,37.560423,126.834402,
열린M타워,37.558435,126.834315,
마곡테크노타워2 주차장,37.558168,126.828561,
메트로비즈타워,37.558244,126.827409,
SB타워3 주차장,37.558933,126.82384,
류마타워2차,37.558938,126.824943,
신방화역 공영주차장(시),37.56706812,126.81757628,
개화산역 공영주차장(시),37.57224302,126.80518976,
김포국제공항 국내선 제2주차장,37.558348,126.807332,
김포국제공항 화물청사 주차장,37.554713,126.809034,
롯데슈퍼프레시 개화산점,37.572006,126.807753,
김포국제공항 국내선 제1주차장,37.560122,126.804257,
김포국제공항 국제선 주차빌딩,37.56471,126.79971505,
김포국제공항 국제선 지하주차장,37.564851,126.802117,
롯데백화점 김포공항점 주차장,37.564119,126.803464,
장충단로(한남광장) 관광버스전용 주차장(시),37.54738352,127.00269901,
공덕1-1 공영주차장(구),37.547386,126.960882,
공덕 효성해링턴스퀘어 주차장,37.543023,126.951226,
마포 재정회관빌딩,37.546364,126.953287,
별정우체국연금관리단빌딩,37.545954,126.953002,
이마트 마포점[마포 공덕역 3호점],37.54244058,126.95338137,
마포신영지웰 주차장,37.5438757,126.95009648,
염리 공영주차장(구),37.54199792,126.94523726,
나이스파크서강점주차장,37.545996,126.932496,
망원1주차장[당산철교북단],37.545234,126.909896,
양화진 공영주차장(구),37.545722,126.911222,
양화3주차장[양화선착장앞],37.54489139,126.89289421,
드림앤드림,37.544613,126.837163,
한강진역 공영주차장(시),37.53952176,127.00257963,
용산더프라임,37.540206,126.969997,
경찰공제회 자람빌딩,37.541842,126.949689,
도화 공영주차장(구),37.54155295,126.94993374,
마포아크로타워,37.54133579,126.9489866,
다보빌딩,37.538408,126.94504,
마포유수지(시),37.53890027,126.94266859,
양화1주차장[당산철교 하부],37.53796609,126.90331806,
양화2주차장[전망카페],37.5388433,126.90146242,
볏골공원 지하공영주차장(구),37.54149243,126.84439601,
가로공원로 지하 주차장(구),37.53758251,126.83934816,
이태원주차장(민영),37.533664,126.994379,
한남동 공영주차장(구),37.53496611,127.00019178,
삼각지고가밑 공영주차장(시),37.53713406,126.9692661,
공유) 한강로동 32구간(구),37.53386,126.96795,
용산주차빌딩 공영주차장(시),37.53436379,126.96541818,
여의서로 공영주차장(시),37.53320847,126.91685164,
목동체비지 공영주차장(시),37.53679354,126.8806468,
부영그린 공영노상주차장(구),37.537282668073196,126.88113087040017,
법안정사 공영주차장(구),37.53574264261237,126.87752598956801,
신영시장 공동주차장(구),37.53302124,126.83625423,
신월3동 여울공영주차장(구),37.53504594,126.82414512,
공유) 한강로동 22구간(구),37.529486,126.97003,
아모레퍼시픽 본사 주차장,37.52917153,126.96843137,
아이파크몰 용산점 주차장,37.528694,126.963766,
서울드래곤시티,37.532138,126.961445,
여의도한강2주차장(마포대교남단),37.528797,126.931198,
세우빌딩,37.530037,126.926235,
신한드림리버오피스텔 주차장,37.529664,126.924537,
여의도한강3주차장(서강대교남단),37.53240356,126.924436,
당산고가밑 공영주차장(시),37.53261905,126.90086754,
당산역효성해링턴타워오피스텔 주차장,37.532719,126.9005,
YP센터 주차장,37.52853206,126.89149431,
영등포구청별관 공영주차장(구),37.528464,126.89437002,
양천사회단체봉사센터 공영주차장(구),37.531871,126.875505,
중소기업유통센터(행복한백화점),37.52937002,126.87612377,
홈플러스 목동점,37.530284,126.873283,
앵커원,37.5240936,126.9298043,
IFC 서울 주차장,37.52497241,126.92532318,
씨티플라자 주차장,37.52407584,126.92604709,
아이엠(im)증권빌딩,37.524501,126.923781,
파크원 주차장,37.52607331,126.92831446,
현대차증권빌딩,37.52406,126.924518,
여의도한강4주차장(여의2교-하부파천교),37.526097,126.913163,
당산2동(구),37.52824898,126.90779447,
롯데마트맥스 영등포점,37.52782182,126.90463093,
영등포제2스포츠센터,37.526684,126.902742,
코레일유통 본사 사옥 주차장,37.525797,126.902025,
당산근린공원 공영(구),37.52552609,126.89579413,
영등포구청(구),37.52603084,126.89527071,
당산노외 공영주차장(시),37.52625065,126.89945376,
영등포구청역 공영주차장(시),37.52432737,126.89548892,
웨스턴베니비스 영등포점,37.527596,126.896019,
서울양평점 롯데마트주차장(케이엠파크),37.52606684,126.89166568,
우림이비지센타 주차장,37.52579977,126.88797228,
현대41타워옆 노상공영주차장(구),37.52790955709728,126.87469438548557,
현대백화점 목동점,37.52685813,126.87503705,
NH농협은행 목동역지점,37.527005,126.863928,
신월4동 공영주차장(시),37.525643,126.837692,
63스퀘어(63빌딩),37.520253,126.939938,
여의도한강공원1주차장(63빌딩앞),37.52217837,126.93973139,
원효대교 남단 공영주차장(시),37.52249148,126.93704902,
여의도 사학연금(TP타워),37.52169298376825,126.92284405231476,
영남 공영주차장(시),37.51947074,126.90260898,
목동우림필유,37.520883,126.869091,
한전 뒷길 노상주차장(구),37.52037416777665,126.868873716548,
어울림 공영주차장(구),37.522184,126.869169,
제이월드빌,37.521777,126.869513,
LG전자베스트샵 양천본점,37.521383,126.857487,
